title,type,release_year,runtime,genres,imdb_score,name,role,thriller,scifi,animation,documentation,history,western,war,sport,action,romance,horror,crime,comedy,drama,music,reality,fantasy,family,european
The Three Stooges,SHOW,1934.0,19.0,"['comedy', 'family', 'animation', 'action', 'fantasy', 'horror']",8.6,"Joe Besser,Moe Howard,Larry Fine",ACTOR,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
The General,MOVIE,1926.0,78.0,"['action', 'drama', 'war', 'western', 'comedy', 'european']",8.2,"Buster Keaton,Marion Mack,Glen Cavender,Jim Farley,Frederick Vroom,Charles Henry Smith,Joe Keaton,Al St. John,Frank Barnes,Mike Donlin,Tom Nawn,Jimmy Bryant,Budd Fine,Ray Hanford,Charles Phillips,Eddie Foster,Frank Hagney,Jack Hanlon,Edward Hearn,Hilliard Karr,Louis Lewyn,Elgin Lessley,Clyde Bruckman,Buster Keaton",ACTOR,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1
The Best Years of Our Lives,MOVIE,1946.0,171.0,"['romance', 'war', 'drama']",8.1,"Myrna Loy,Fredric March,Dana Andrews,Teresa Wright,Virginia Mayo,Cathy O'Donnell,Hoagy Carmichael,Harold Russell,Gladys George,Roman Bohnen,Ray Collins,Minna Gombell,Walter Baldwin,Steve Cochran,Dorothy Adams,Don Beddoe,Marlene Aames,Charles Halton,Ray Teal,Howland Chamberlain,Dean White,Erskine Sanford,Michael Hall,Victor Cutler,Claire Du Brey,Pat Flaherty,Jackie Jackson,William H. O'Brien,Bert Stevens,Marion Gray,William Wyler",ACTOR,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
His Girl Friday,MOVIE,1940.0,92.0,"['comedy', 'drama', 'romance']",7.8,"Cary Grant,Rosalind Russell,Ralph Bellamy,Gene Lockhart,Helen Mack,Porter Hall,Ernest Truex,Cliff Edwards,Clarence Kolb,Roscoe Karns,Frank Jenks,Regis Toomey,Abner Biberman,Frank Orth,John Qualen,Alma Kruger,Billy Gilbert,Pat West,Edwin Maxwell,Irving Bacon,Wade Boteler,Harry C. Bradley,Wheaton Chambers,Edmund Cobb,Ann Doran,Ralph Dunn,Earl Dwire,Pat Flaherty,Jack Gardner,Eddie Hart,Marion Martin,Frank McLure,James Millican,Gene Morgan,Delmar Watson,Howard Hawks",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
In a Lonely Place,MOVIE,1950.0,94.0,"['thriller', 'drama', 'romance']",7.9,"Humphrey Bogart,Gloria Grahame,Frank Lovejoy,Carl Benton Reid,Art Smith,Jeff Donnell,Martha Stewart,Robert Warwick,Morris Ankrum,William Ching,Steven Geray,Hadda Brooks,Ruth Gillette,Michael Romanoff,Ruth Warren,Harold Miller,James Arness,June Vincent,Bess Flowers,Nicholas Ray",ACTOR,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Stagecoach,MOVIE,1939.0,96.0,"['western', 'drama']",7.8,"Claire Trevor,John Wayne,Andy Devine,John Carradine,Thomas Mitchell,Louise Platt,George Bancroft,Donald Meek,Berton Churchill,Tim Holt,Tom Tyler,Chief John Big Tree,Yakima Canutt,Francis Ford,William Hopper,Chris-Pin Martin,Paul McVey,Jack Pennick,Harry Tenbrook,Whitehorse,Hank Worden,Dorothy Appleby,Ted Billings,Wiggie Blowne,Danny Borzage,Ed Brady,Fritzi Brunette,Nora Cecil,Steve Clemente,Bill Cody,Jack Curtis,Marga Ann Deighton,Patricia Doyle,Tex Driscoll,Johnny Eckert,Franklyn Farnum,Brenda Fowler,Helen Gibson,Robert Homans,Si Jenks,Cornelius Keefe,Florence Lake,Al Lee,Duke R. Lee,Theodore Lorch,Jim Mason,Louis Mason,Merrill McCormick,J.P. McGowan,Walter McGrail,Jack Mohr,Kent Odell,Artie Ortego,Vester Pegg,Chris Phillips,Joe Rickson,Buddy Roosevelt,Mickey Simpson,Chuck Stubbs,Leonard Trainor,Mary Kathleen Walker,Bryant Washburn,Elvira Ríos,John Ford",ACTOR,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
It's a Wonderful Life,MOVIE,1946.0,130.0,"['drama', 'family', 'fantasy', 'romance', 'comedy']",8.6,"James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Henry Travers,Beulah Bondi,Frank Faylen,Ward Bond,Gloria Grahame,H.B. Warner,Frank Albertson,Todd Karns,Samuel S. Hinds,Mary Treen,Virginia Patton,Charles Williams,Sarah Edwards,William Edmunds,Lillian Randolph,Argentina Brunetti,Robert J. Anderson,Ronnie Ralph,Jean Gale,Jeanine Ann Roose,Danny Mummert,Georgie Nokes,Sheldon Leonard,Frank Hagney,Ray Walker,Charles Lane,Edward Keane,Carol Coombs,Karolyn Grimes,Larry Simms,Jimmy Hawkins,Jean Acker,Ernie Adams,Monya Andre,Stanley Andrews,Sam Ash,Jack Bailey,Louise Bates,Beth Belden,Brooks Benedict,Joseph E. Bernard,Al Bridge,Buz Buckley,Marian Carr,Adriana Caselotti,Lane Chandler,Michael Chapin,Tom Chatterton,Jack Cheatham,Harry Cheshire,Edward Clark,Tom Coleman,Ellen Corby,Bryn Davis,Lew Davis,Harry Denny,Helen Dickson,Dick Elliott,Tom Fadden,Frank Fenton,Eddie Fetherston,Sam Flint,Lee Frederick,Dick Gordon,Jack Gordon,Herschel Graham,Joseph Granby,Charles Halton,Carl Eric Hansen,Herbert Heywood,Harry Holman,Art Howard,Bert Howard,Arthur Stuart Hull,John Indrisano,Eddie Kane,Carl Kent,Milton Kibbee,Effie Laird,Mike Lally,Harold Landon,Meade 'Lux' Lewis,Jack Lomas,J. Farrell MacDonald,Wilbur Mack,Charles Meakin,Priscilla Montgomery,Bert Moorhouse,Evelyn Moriarty,Philip Morris,George Noisom,Bob O'Connor,Frank O'Connor,Lynn O'Leary-Jameson,Moroni Olsen,Garry Owen,Netta Packer,Franklin Parker,Suzanne Ridgeway,Mark Roberts,Constantine Romanoff,Cy Schindell,Almira Sessions,Cedric Stevens,Brick Sullivan,Charles Sullivan,Carl Switzer,Max Wagner,Larry Wheat,Charles C. Wilson,Frank Capra",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
Detour,MOVIE,1945.0,66.0,"['thriller', 'drama', 'crime']",7.3,"Tom Neal,Ann Savage,Claudia Drake,Edmund MacDonald,Tim Ryan,Esther Howard,Pat Gleason,Edgar G. Ulmer",ACTOR,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
My Man Godfrey,MOVIE,1936.0,95.0,"['comedy', 'romance', 'drama']",8.0,"William Powell,Carole Lombard,Alice Brady,Gail Patrick,Eugene Pallette,Jean Dixon,Alan Mowbray,Mischa Auer,Pat Flaherty,Robert Light,Bess Flowers,Bert Moorhouse,Franklin Pangborn,Grady Sutton,Jane Wyman,Ernie Adams,Jimmy Aye,James Carlisle,Jack Chefe,Phyllis Crane,Eddie Fetherston,Grace Field,James Flavin,Edward Gargan,Carlton Griffin,David S. Horsley,Selmer Jackson,Richard Kipling,Andrea Leeds,Ethelreda Leopold,Reginald Mason,Louis Natheaux,Bob Perry,Katherine Perry,Albert Petit,Jean Rogers,Ronald R. Rondell,Arthur Singley,Larry Steers,Russell Wade,William Wagner,Arthur Wanzer,Harley Wood,Gregory La Cava",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Marihuana,MOVIE,1936.0,57.0,"['crime', 'drama']",4.0,"Harley Wood,Hugh McArthur,Paul Ellis,Bill Woods,Juanita Fletcher,Gloria Browne,Symona Boniface,Hal Taggart,William C. Thompson,Dwain Esper",ACTOR,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
